criterion_id,max_score,anchor_score,anchor_description
C1,30,0,Совмещение со школой крайне затруднено типичным режимом занятий.
C1,30,15,Совмещение возможно, но спорт заметно диктует семье расписание.
C1,30,25,Регулярные занятия обычно совместимы со школой при разумной логистике.
C1,30,30,Очень высокая совместимость с учебой и гибкая бытовая организация.
C2,25,0,Спортивная задача в основном стабильна и почти не требует решений в изменяющейся среде.
C2,25,12,Есть тактика и выбор, но внешняя задача сравнительно предсказуема.
C2,25,20,Нужно постоянно считывать меняющуюся ситуацию и выбирать действие.
C2,25,25,Новая информация и выбор решения встроены почти в каждый эпизод спортивного действия.
C3,20,0,Существенная физическая нагрузка отсутствует.
C3,20,10,Умеренная физическая нагрузка.
C3,20,17,Выраженная физическая нагрузка с несколькими физическими качествами.
C3,20,20,Очень высокая системная физическая нагрузка.
C4,15,0,Полноценный вход сильно зависит от сверхраннего начала.
C4,15,8,Поздний вход возможен, но существенно ограничивает возможности.
C4,15,13,В школьном возрасте начать реалистично.
C4,15,15,Поздний старт сравнительно дружелюбен и не требует многолетней базы для первого полноценного опыта.
C5,10,0,Очень высокая стоимость/редкая инфраструктура/сильная сезонность.
C5,10,5,Заметные инфраструктурные или финансовые ограничения.
C5,10,8,Умеренная бытовая сложность и доступность в крупных городах.
C5,10,10,Очень простой и доступный бытовой старт.
