rank,sport,C1,C2,C3,C4,C5,total,evidence_source_ids,note
1,Спортивное ориентирование,28,25,19,15,8,95,S01;S02;S03,"Карта, выбор маршрута и физическая нагрузка встроены в одну задачу."
2,Настольный теннис,29,22,17,15,9,92,S01;S02;S04,"Быстрый прогноз действий соперника при очень удобной школьной логистике."
3,Бадминтон,28,22,18,14,9,91,S01;S02;S05,"Open-skill ракеточный спорт с ранним прогнозированием траектории."
4,Баскетбол,25,24,19,13,9,90,S01;S02,"Высокая плотность решений; командный режим сильнее влияет на расписание."
5,Скалолазание,27,23,18,14,8,90,S01;S02;S06,"Маршрут требуется сначала решить, затем реализовать телом."
6,Фехтование,27,24,17,13,8,89,S01;S02,"Дистанция, провокация и ответ при жестком дефиците времени."
7,Дзюдо,26,22,19,13,8,88,S01;S02,"Тактическое противоборство и высокая физическая нагрузка."
8,Футбол,24,23,19,12,8,86,S01;S02,"Много решений в быстро меняющейся командной ситуации; C2=23 дает tie-break над теннисом."
9,Теннис,26,22,18,13,7,86,S01;S02;S07,"Прогнозирование действий соперника; бытовая доступность ниже."
10,Лыжные гонки,26,16,20,14,7,83,S02,"Очень высокая физическая нагрузка, но внешняя спортивная задача стабильнее."
