claim_id,entity,claim,source_ids,confidence,note
F001,ALL,"Open-skill и closed-skill виды спорта различаются по требованиям изменяющейся внешней среды; обзоры изучают связь с исполнительными функциями.",S01;S02,high,"Не интерпретировать как линейный рейтинг интеллекта видов спорта."
F002,ALL,"Метаанализ open-skill тренировок у детей/подростков сообщает эффекты по отдельным исполнительным функциям, но результаты зависят от возраста, интенсивности и дизайна исследований.",S02,medium,"Не обещать перенос на школьные оценки или IQ."
F003,Спортивное ориентирование,"IOF описывает foot orienteering как вид спорта на выносливость с большой умственной составляющей, требующий чтения карты, концентрации и выбора маршрута во время движения.",S03,high,"Институциональный первичный источник."
F004,Настольный теннис,"Научная работа исследует прогнозирование вращения и направления подачи и различия обработки информации у игроков.",S04,high,"Поддерживает описание C2."
F005,Бадминтон,"Исследование сравнивает опытных игроков и новичков в прогнозировании зоны приземления волана по сенсорной информации.",S05,high,"Поддерживает описание C2."
F006,Скалолазание,"Исследование связывает уровень скалолазов со стратегией визуального поиска при предварительном просмотре трассы.",S06,high,"Поддерживает описание C2."
F007,Теннис,"Исследование показывает различия экспертов в использовании информации о движении соперника для прогнозирования удара.",S07,high,"Поддерживает описание C2."
F008,ALL,"Опубликованная модель использует веса 30/25/20/15/10 и итоговые баллы 95–92–91–90–90–89–88–86–86–83.",S08;S09;S10,high,"Provenance frozen scoring."
F009,Футбол,"При 86 баллах футбол имеет C2=23.",S08;S09;S10,high,"Используется для tie-break correction."
F010,Теннис,"При 86 баллах теннис имеет C2=22.",S08;S09;S10,high,"Используется для tie-break correction."
F011,ALL,"Опубликованное правило ничьей ставит выше вид спорта с большей интеллектуальной составляющей.",S08;S09;S10,high,"Поэтому футбол должен быть выше тенниса."
F012,Спортивное ориентирование,"Спортивное ориентирование получило 95/100 без изменения критерий-баллов при переносе в IndexResearch.",S08;S09;S10,high,"Победный тезис ограничен сценарием."
